,,19-19-2-1 450mmds vUr% vk;ke ds vk;ke oxkZdkj,,,
,,vkdkj,izR;sd,0-128,
,,19-19-2-2 500mmds vUr% O;kl dk /kqekonkj vkdkj,izR;sd,0-096,
,19-19-3,",p Mh&20",,,
,,19-19-3-1 560mmds vUr% O;kl dk /kqekonkj vkdkj,izR;sd,0-096,
,19-19-4,"bZ ,p Mh&35",,,
,,19-19-4-1 560mmds vUr% O;kl dk /kqekonkj vkdkj,izR;sd,0-096,
19-21,ty fud lheasV da,"kl vkSj floj ykbu esa] fufgr esugksy ,oa nhokjksa] Q”kZ dh djhV ¼1%2%4½ ds feJ.k lfgr l;kstuA",,,
,19-21-1,"100 eh- 250 feeh O;kl ds ikbiksa ds fy,",izR;sd,0-056,
,19-21-2,"250x300 eh- O;kl ikbiksa ds fy,",izR;sd,0-095,
,19-21-3,"350x400 eh- O;kl ikbiksa ds fy,",izR;sd,0-153,
19-22,60 ls-eh-,"Mªki] “kk[kk lhoj ykbu ls eq[; lhoj esugksy ds fy, s s s",,,
,ckgj dh,rjQ jr jfpr ykg Mªki duD”ku dh O;oLFkk djuk,,,
,19-22-1,100 feeh,izR;sd,0-34,
,19-22-2,150 feeh,izR;sd,0-46,
19-23,vfrfjDr vf/kd x,"Hkqxrku ckyw <ys yksgs ds ikr la;kstu dh 60 ls-eh- ls gjkbZ ds fy,",,,
,19-23-1,"100 fe-eh- O;kl ds jsr jfpr yksg Mªki dusD”ku ds fy,",eh-,0-21,
,19-23-2,"150 fe-eh- O;kl ds jsr jfpr yksg Mªki dusD”ku ds fy,",eh-,0-26,
19-27,50×45× ¼1%4½ ls f,60cmds bZaV elkys jksM fxYyh pSEcj dk lhesaV elkys uekZ.k djukA,izR;sd,0-93,
19-28,45×45× ¼1%4½ ls f,77-5cmds bZaV elkys jksM fxYyh pSEcj dk lhesaV elkys uekZ.k djukA,izR;sd,0-82,
19-29,110×50× ¼1%4½ ls f,77-5cmds bZaV elkys jksM fxYyh pSEcj dk lhesaV elkys uekZ.k djukA,izR;sd,1-66,
19-30,HkwfexrC elkys l,".1tqMukj pSEcj ,oa cSMal dk lhesaV elkysa¼1%4½ bZV fgr fuekZ.k djukA",,,
,19-30-1,"450×610 feeh- ,oa 45cmxgjs] ,dy ikbi ykbu",,,
,,gsrq vUr% vk;ke,izR;sd,0-90,
la0,,,e,"bdkbZ ek=k esa iz;ksx djus ds fy, lhesaV dh k=k ¼fDoaVy esa½",
,19-30-2,"500×700 feeh-,oa 45cmxgjs] ,d ;k nks buySV lfgr ikbi ykbu ds fy,] vUr% vk;ke",izR;sd,1-02,
,19-30-3,"600×800 feeh- 45cmxgjs] ,dy ykbu& nks ;k rhu",,,
,,buySV ds lkFk] vUr% vk;ke,izR;sd,1-27,
19-31,bZV elkys,"ds pSEcj ds 45 ls-eh- ds ijs xgjkbZ ds fy, vfrfjDr",,,
,19-31-1,"450×610 feeh- vkdkj ds fy,",ehVj,0-87,
,19-31-2,"500×700 feeh- vkdkj ds fy,",ehVj,0-95,
,19-31-3,"600×850 feeh- vkdkj ds fy,",ehVj,1-12,
19-32,2-5 eh- O;,kl rFkk 3-0 eh- xgjs ty “kks’kd/kku dks cukuk,izR;sd,0-072,
19-34,lhesaV el,kys¼1%1½ ds l[r feJ.k ls esugksy esaSW bUVj lSfIVax,,,
,¼vURk% jks/kh,½ VSªi ¼tky½ dh O;oLFkk djuk o yxkukA,,,
,19-34-1,100 feeh O;kl,izR;sd,0-013,
,19-34-2,150 feeh O;kl,izR;sd,0-019,
19-35,Ukku çs”kj,",u ih& 3 Js.kh dh O;oLFkk djuk o yxkuk",,,
,19-35-1,450 feeh O;kl okys iz-lh-da- ikbi,100 ehVj,1-20,
,19-35-2,600 feeh O;kl okys iz-lh-da- ikbi,100 ehVj,1-60,
,19-35-3,900 feeh O;kl okys iz-lh-da- ikbi,100 ehVj,2-50,
,19-35-4,1000 feeh O;kl okys iz-lh-da- ikbi,100 ehVj,2-80,
,19-35-5,1200 feeh O;kl okys iz-lh-da- ikbi,100 ehVj,3-40,
,19-35-6,1800 feeh O;kl okys iz-lh-da- ikbi,100 ehVj,4-90,
19-36,uku çs”kj,",u- ih- & 4 Js.kh dh O;oLFkk djuk o yxkuk",,,
,19-36-1,450 feeh O;kl okys iz-lh-da- ikbi,100 ehVj,1-20,
,19-36-2,600 feeh O;kl okys iz-lh-da- ikbi,100 ehVj,1-60,
,19-3+6-3,900 feeh O;kl okys iz-lh-da- ikbi,100 ehVj,2-50,
,19-36-4,1000 feeh O;kl okys iz-lh-da- ikbi,100 ehVj,2-80,
,19-36-5,1200 feeh O;kl okys iz-lh-da- ikbi,100 ehVj,3-40,
,19-36-6,1800 feeh O;kl okys iz-lh-da- ikbi,100 ehVj,4-90,
la0,,,,"bdkbZ ek=k esa iz;ksx djus ds fy, lhesaV dh ek=k ¼fDoaVy esa½",
,20-4-2,400 feeh O;kl ikbYl,izR;sd,0-208,
,20-4-3,450 feeh O;kl ikbYl,izR;sd,0-267,
,20-4-4,550 feeh O;kl ikbYl,izR;sd,0-396,
20-5,LoLFkkus dkLV d,izcfyr lhesaV dadjhVikbYl&xzsMM25 dh cksj h O;oLFkk djuk o yxkuk rFkk [kksnuk,,,
,20-5-1,400 feeh O;kl ikbYl,ehVj,0-414,
,20-5-2,450 feeh O;kl ikbYl,ehVj,0-525,
,20-5-3,500 feeh O;kl ikbYl,ehVj,0-648,
,20-5-4,550 feeh O;kl ikbYl,ehVj,0-784,
,20-5-5,750 feeh O;kl ikbYl,ehVj,1-795,
,20-5-6,1000 feeh O;kl ikbYl,ehVj,2-590,
la0,,,e,"bdkbZ ek=k esa iz;ksx djus ds fy, lhesaV dh k=k ¼fDoaVy esa½",
26-31-1,",l ch vkj ck.M dksV",ikWyhej ¼lhesaV ds out dk 10%½ eksfMQkbZM lhesafV;l @ 2-2 fd-xzk- lhesUV izfr oxZehVj,100 oxZ eh0,2-20,
26-32,",l ch vkj ¼1 lhesaV% 4",ikWyhej ¼vuqeksfnr Nki½ eksMhQkbZM] lhesaV elkyk 1%4 vuqikfrr eksVk jsr½ ¼2% U;wure iz;qDr lhesaV ds Hkkjdk½,,,
,26-32-1,12 feeh vkSlr eksVkbZA,100 oxZ eh0,5-47,
,26-32-2,25 feeh eksVh vkSlru& nks ijrA,100 oxZ eh0,11-40,
,26-32-3,50 feeh eksVh vkSlr&rhu ijrA,100 oxZ eh0,22-80,
26-33,",l ch vkj ds Hkkjdk 2",ikWyhej miyC/k djkuk] feykuk rFkk yxkuk¼iz;qDr lhesaV % U;wure½,,,
,26-33-1,"de ls de 330 fdxzk0 izfr ?kuehVj ds lhesaV ds lkFkxzsM ,e&25 esa 50 feeh eksVkA",100 oxZ eh0,16-50,
,26-33-2,"de ls de 330 fdxzk0 izfr ?kuehVj ds lhesaV ds lkFkxzsM ,e&25 esa 75 feeh eksVkA",100 oxZ eh0,24-75,
26-34,",l ch vkj lajpukRed",ikWyhej eksMhQkbZM ¼iz;qDr lhesaV ds out dk 2% U;wure½ esEcj&dkWye] fiyjksa] ih;j] cheksa vkfn ds fy;s,,,
,26-34-1,"de ls de 330 fdxzk0 izfr ?ku ehVj dh lhesaV ds lkFk ,e&25 esa 50 feeh eksVkA",100 oxZ eh0,16-50,
,26-34-2,"de ls de 330 fdxzk0 izfr ?ku ehVj dh lhesaV ds lkFk ,e&25 esa 75 feeh eksVkA",100 oxZ eh0,24-75,
,26-34-3,de ls de 330 fdxzk0 izfr ?ku ehVj dhs lhesaV ds,,,
,,"lkFk ,e&25 esa 100 feeheksVkA",100 oxZ eh0,33-00,
26-35,visf{kr nck vuqeksfnr N,o ij xu@iai }kjk dadzhV@ eSlujh njkjksa@guhdkEc esa ki dk xzkmV,,,
,26-35-1,"vuqeksfnr Nki dk LVjj feDlM ,dzhfyd iksfyej ¼iz;qDr lhesaV ds out dk 2%½",100 fd-xzk-,1-00,
,26-35-2,"vuqeksfnr Nki dk LVjj feDlM ,dzhfyd iksfyej ¼eksMhQkbM½ esM fon “jhadst dEisulsfVax lhesaV bu",,,
,,dzadhV@vkj-lh-lh- odZ,100 fd-xzk-,1-00,
la0,,,,"bdkbZ ek=k esa iz;ksx djus ds fy, lhesaV dh ek=k ¼fDoaVy esa½",
,26-73-1-2,120 fe-eh- eksVk [kks[kyk dksj LySc,ehVj,0-432,
,26-73-1-3,150 fe-eh- eksVk [kks[kyk dksj LySc,ehVj,0-54,
,26-73-1-4,200 fe-eh- eksVk [kks[kyk dksj LySc,ehVj,0-672,
,26-73-1-5,250 fe-eh- eksVk [kks[kyk dksj LySc,ehVj,0-84,
,26-73-1-6,300 fe-eh- eksVk [kks[kyk dksj LySc,ehVj,1-008,
,26-73-1-7,350 fe-eh- eksVk [kks[kyk dksj LySc,ehVj,1-176,
,26-73-1-8,400 fe-eh- eksVk [kks[kyk dksj LySc,ehVj,1-344,
,"26-73-2 ,e&40 ds vfrfjä ¼l","ctk, ,e&50 dk mi;ksx djus ds fy, hesaV dh ek=k 425 fd-xzk-½",,,
,26-73-2-1,100 fe-eh- eksVk [kks[kyk dksj LySc,ehVj,0-0225,
,26-73-2-2,120 fe-eh- eksVk [kks[kyk dksj LySc,ehVj,0-0270,
,26-73-2-3,150 fe-eh- eksVk [kks[kyk dksj LySc,ehVj,0-03375,
,26-73-2-4,200 fe-eh- eksVk [kks[kyk dksj LySc,ehVj,0-0420,
,26-73-2-5,250 fe-eh- eksVk [kks[kyk dksj LySc,ehVj,0-0525,
,26-73-2-6,300 fe-eh- eksVk [kks[kyk dksj LySc,ehVj,0-0630,
,26-73-2-7,350 fe-eh- eksVk [kks[kyk dksj LySc,ehVj,0-0735,
,26-73-2-8,400 fe-eh- eksVk [kks[kyk dksj LySc,ehVj,0-0840,
,"26-73-3 ,e&40 ds vfrfjä ¼l","ctk, ,e&60 dk mi;ksx djus ds fy, hesaV dh ek=k 440 fd-xzk-½",,,
,26-73-3-1,100 fe-eh- eksVk [kks[kyk dksj LySc,ehVj,0-0360,
,26-73-3-2,120 fe-eh- eksVk [kks[kyk dksj LySc,ehVj,0-0432,
,26-73-3-3,150 fe-eh- eksVk [kks[kyk dksj LySc,ehVj,0-0540,
,26-73-3-4,200 fe-eh- eksVk [kks[kyk dksj LySc,ehVj,0-0672,
,26-73-3-5,250 fe-eh- eksVk [kks[kyk dksj LySc,ehVj,0-0840,
,26-73-3-6,300 fe-eh- eksVk [kks[kyk dksj LySc,ehVj,0-1008,
,26-73-3-7,350 fe-eh- eksVk [kks[kyk dksj LySc,ehVj,0-1176,
,26-73-3-8,400 fe-eh- eksVk [kks[kyk dksj LySc,ehVj,0-1344,
26-74,"nhokjks] lhf<+;ksa] d‚ye vk dk fuekZ.k ,oa QSfczds’ku","fn ds fy, lksfyM çhdkLV daØhV rRo",,,
,26-74-1 daØhV xzsM,",e&35 ¼lhesaV dh ek=k 370 fd-xzk-½",?ku ehVj,3-70,
,"26-74-2 ,e&35 ds vfrfjä ¼l","ctk, ,e&40 dk mi;ksx djus ds fy, hesaV dh ek=k 400 fd-xzk-½",?ku ehVj,0-30,
,"26-74-3 ,e&35 ds","ctk, ,e&50 dk mi;ksx djus ds fy,",,,
,vfrfjä ¼l,hesaV dh ek=k 425 fd-xzk-½,?ku ehVj,0-55,
,"26-74-4 ,e&35 ds","ctk, ,e&60 dk mi;ksx djus ds fy,",,,
,vfrfjä ¼l,hesaV dh ek=k 440 fd-xzk-½,?ku ehVj,0-70,
26-82,"dBksj bZih,l ¼lsyqyj IykfL",Vd lkexzh½ Cy‚d miyC/k djkuk vkSj fcNkukA,100 oxZ eh-,8-38,
4.9,Precasting and placing in position 125 mm dia Bollards 600 mm high…. . cement concrete 1:3:6 (1 Cement : 3 coarse sand (zone-III) derived from natural sources : 6 graded stone aggregate 20 mm nominal size derived from natural sources)…..,each,0.097,,
4.9A,Precasting and placing in position 125 mm dia Bollards 600 mm high…. . cement concrete 1:3:6 (1 Cement : 3 manufactured sand derived from Recycled Concrete Aggregate (RCA) : 6 graded stone aggregate 20 mm nominal size derived from Recycled Concrete Aggregate (RCA))…..,each,0.097,,
4.9B,Precasting and placing in position 125 mm dia Bollards 600 mm high…. . cement concrete 1:3:6 (1 Cement : 3 manufactured sand derived from Recycled Concrete Aggregate (RCA) : 6 graded stone aggregate 20 mm nominal size derived from Recycled Aggregate (RA))….. DAMP- PROOF COURSE,each,0.097,,
4.10,P/L D.P.C. 40 mm thick with C.C. (1 cement :2 coarse sand derived from natural sources :4 graded stone aggregate 12.5mm nominal size derived from natural sources).,sqm,0.13,,
4.10A,P/L D.P.C. 40 mm thick with C.C. (1 cement :2 inlcuding manufactured sand derived from Recycled Concrete Aggregate (RCA) upto 25% :4 graded stone aggregate 12.5mm nominal size derived from Recycled Concrete Aggregate (RCA) upto 25%).,sqm,0.13,,
4.11,P/L D.P.C. 50 mm thick with C.C. (1 cement :2 coarse sand derived from natural sources :4 graded stone aggregate 12.5mm nominal size derived from natural sources).,sqm,0.16,,
4.11A,P/L D.P.C. 50 mm thick with C.C. (1 cement :2 inlcuding manufactured sand derived from Recycled Concrete Aggregate (RCA) upto 25% :4 graded stone aggregate 12.5mm nominal size derived from Recycled Concrete Aggregate (RCA) upto 25%).,sqm,0.16,,
,MISCELLANEOUS,,,,
4.17,Making plinth protection 50 mm thick of cement concrete 1:3 coarse sand (zone-III) derived from natural sources : 6 graded stone aggregate 20 mm nominal size derived from natural sources),sqm,0.11,,
4.17A,Making plinth protection 50 mm thick of cement concrete 1:3 manufactured sand derived from Recycled Concrete Aggregate (RCA) : 6 graded stone aggregate 20 mm nominal size derived from Recycled Concrete Aggregate (RCA)),sqm,0.11,,
10.4,P/F 1 mm thick M.S. sheet sliding-shutters with frame.,100 sqm,0.35,,
10.5,P/F 1 mm thick M.S. sheet door with frame.,100 sqm,0.35,,
10.6,Supplying and fixing rolling shutters.,100 sqm,0.35,,
10.10.1 10.11.1,& Fixing standard steel glaze door windows etc.,100 kg,0.13,,
10.13.1,P/F ‘T’ iron froms for doors windows & ventilators,100 kg,0.11,,
10.15,"Providing and fixing M.S. Tubular frames for doors, windows, ventilators and cupboard with 15x3 mm lugs 10 cm long embedded in cement concrete blocks 15x10x10 cm of 1:3:6 mix.",100 kg,0.28,,
,CERAMIC GLAZED TILES,,,,
11.37,P/L ceramic glazed floor tiles laid on 20 mm thick Cement Mortar (1:4) with grey cement @ 3.3kg/sqm,sqm,0.1242,,
11.38,P/L ceramic glazed floor tiles laid on 20mm thick bed of Cement Mortar (1:4) with grey cement @ 3.3kg/sqm,sqm,0.1242,,
11.39 & 11.40,P/L rectified Glazed Ceramic floor tiles laid on 20mm thick cement mortar (1:4). VITRIFIED FLOOR TILES,sqm,0.1242,,
11.41 & 11.41A,P/L vitrified floor tile laid on 20mm thick cement mortar (1:4).,sqm,0.1242,,
11.44,Crazy ceramic tile flooring.,sqm,0.0646,,
11.46,P/L vitrified tile in skirting in cement mortar (1:3).,sqm,0.088,,
11.51,"P/L Machine cut, Mirror polished, Italian Marble stone flooring",Sqm.,0.085 + 0.05*,,
11.52,P/L Machine cut Mirror polished Marble stone flooring,Sqm.,0.085 + 0.05*,,
11.55,P/L flamed finish granite stone flooring,100 sqm.,13.50,,
11.56,P/L polished granite stone .........,100 sqm.,13.50,,
12.16,10 cm thick mud phaska with flat tile bricks grouted with cement mortar (1:3).,100 sqm,3.11,,
12.17,10cm thick mud phaska with machine moulded tile bricks grouted with cement mortar (1:3).,100 sqm,3.11,,
12.19,Providing and laying brick tiles over mumty roofs grouted with cement mortar (1:3).,100 sqm,9.13,,
12.20,Providing and laying pressed clay tiles on roofs jointed with cement mortar (1:4).,100 sqm,9.92,,
12.21,Providing gola 75x75 mm in cement concrete (1:2:4).,metre,0.031,,
12.22,Making khurras 45x45 cm with average minimum thickness of 5 cm cement concrete (1:2:4).,each,0.06,,
12.23,Providing sand stone slab for roofing and laying cement mortar (1 : 4).,100 sqm,0.74,,
12.38,Providing and fixing M.S. holder bat clamps in cement concrete blocks 10x10x10cm of 1:2:4 mix.,each,0.005,,
12.55,P/F heat resistant tile on roof with cement mortar (1:4) and filling joints with white cement marble mix.,sqm,0.1367,,
14.1,Repairs to plaster of thickness 12 mm to 20 mm in patches with cement mortar 1:4.,100 sqm,6.95,,
14.2,Fixing chowkhats in existing opening with hold fasts in cement concrete blocks with cement concrete 1:3:6.,,,,
,14.2.1 Door chowkhats,each,0.12,,
,14.2.2 Window chowkhats,each,0.06,,
,14.2.3 Clerestory window chowkhats,each,0.03,,
14.12,Providing and fixing 16 mm M.S. Fan clamps in existing R.C.C. slab.,each,0.016,,
14.13,Regrading terracing of mud phaska to proper slope.,100 sqm,3.11,,
14.14,Replacing sand stone slabs in roofing in cement mortar 1:4.,100 sqm,0.78,,
14.15,Renewing wooden battens in roofs & making good the holes in walls.,cum,0.36,,
14.16,Renewing wooden beams in roofs & making good the holes in walls.,cum,0.13,,
14.18,Flush pointing with cement mortar 1:3 for flat tile bricks on top of mud phaska.,100 sqm,0.76,,
16.63,16.63 P/L kerb channel 30cm wide and 50mm thick of,,,,
,cement concrete (1:3:6).,metre,0.11,,
16.67,Providing and fixing factory made RCC pavement slab,,,,
,of M-30 grade in footpath over a bed of 20mm average thick cement mortar (1:5).,100 sqm,7.75,,
16.69,Providing and laying factory made kerb stone of M-25 grade jointed with cement mortar (1:3).,cum,0.05,,
16.75,Providing and laying C.C. pavement of mix M-25 with ready mixed concrete.,cum,3.30,,
16.80,Dry lean cement concrete sub base.,cum,1.50,,
16.85,"Laying old kerb stones, jointed with cement mortar (1:3).",100 metre,0.3723,,
16.86,"P/L gang saw cut 18 mm thick, morror polished",sqm,0.09,,
16.87,P/L gang saw cut 30 mm thick mirror polished,sqm,0.09,,
16.88,P/L Matt finished vitrified tile of size,sqm,0.12,,
16.89,P/L Matt finished vitrifid tile of size,sqm,0.12,,
16.90,P/L tactile tile,sqm,0.12,,
16.92,P/F 10x10x7.5 cm. granite stone block,sqm,1.85,,
16.93,Providing and Placing in position 100mm thick precast RCC covers on drain of footpath,sqm,0.352,,
17.13,Fixing White vitreous china water closet squatting pan.,each,0.025,,
17.17,Fixing a pair of white vitreous china foot rests.,each,0.025,,
17.23,Fixing white vitreous china flat urinal basin.,each,0.01,,
17.24,Fixing white vitreous china squatting plate urinal.,each,0.02,,
17.25,Fixing white vitreous china wash basin.,each,0.015,,
17.26,Fixing kitchen sink.,each,0.015,,
17.27,Fixing kitchen sink.,each,0.015,,
17.37,Providing and fixing M.S. holder-bat clamps.,each,0.005,,
17.59,Providing and fixing M.S. stays and clamps.,each,0.005,,
17.60,Providing and fixing trap of self-cleansing design.,each,0.025,,
17.61,Cutting chases in brick masonry walls for sand cast iron/ centrifugally cast (spun) iron pipes and making good the same with C.C.(1:3:6).,,,,
,17.61.1 100 mm dia,100 metre,5.40,,
,17.61.2 75 mm dia,100 metre,3.70,,
,17.61.3 50 mm dia,100 metre,1.87,,
22.1,P/L integral cement based treatment for water proofing on horizontal surface. :,,,,
,22.1.1 Using rough kota stone,sqm,0.342,,
22.2,P/L integral cement based treatment for water proofing on the vertical surface. :,,,,
,22.2.1 Using rough Kota stone,sqm,0.443,,
22.3,"P/L water proofing treatment to vertical and horizontal surfaces of depressed portions of W.C., kitchen and the like consisting of:",,,,
,(i) Ist course of applying cement slurry @ 4.4 kg/sqm,,,,
,(ii) IInd course of 20mm cement plaster (1:3),,,,
,(iii) IIIrd course of applying blown or residual bitumen applied hot at 1.7 Kg. per sqm of area,,,,
,(iv) IVth course of 400 micron thick PVC sheet,sqm,0.158,,
22.5,"P/L water proofing treatment in sunken portion of WCs, bathroom etc.",sqm,0.0123,,
22.6,P/L water proofing treatment on roofs.,sqm,0.0195,,
22.7,"P/L integral cement based water proofing treatment on roofs, balconies, terraces etc. :",,,,
,22.7.1 With average thickness of 120mm and minimum thickness at khurra as 65 mm,sqm,0.387,,
22.14,Grading roof for water proofing treatment with,,,,
,22.14.1 Cement concrete 1:2:4,cum,3.20,,
,22.14.2 Cement mortar 1:3,cum,5.10,,
,22.14.3 Cement mortar 1:4,cum,3.80,,
la0,,,"bdkbZ ek=k esa iz;ksx djus ds fy, lhesaV dh ek=k¼fDoaVy esa½",,
4-9,600 feeh Å¡ps 125 feeh O;kl okys cksykMZ dh çhdkfLVax vkSj ;Fkk fLFkku ij j[kuk 1%3%6 ¼1lhesaV% 3 çk—frd lzksrksa ls O;qRiUu eksVh jsr ¼tksu&III½ % 6 çk—frd lzksrksa ls O;qRiUu 20 feeh U;wure vkdkj dh oxhZ—r iRFkj dh jksM+h½,çR;sd,0-097,,
4-9d,"600 feeh Å¡ps 125 feeh O;kl okys cksykMZ dh çhdkfLVax vkSj ;Fkk LFkku ij j[kuk 1%3%6 ¼1lhesaV% 3 iquuZohuh—r daØhV jksM+h ¼vkjlh,½ ls O;qRiUu fofufeZr jsr% 6 iquuZohuh—r daØhV jksM+h ¼vkjlh,½ ls O;q‘RiUu 20 feeh U;wure vkdkj dh oxhZ—r iRFkj dh jksM+h½",çR;sd,0-097,,
4-9[k,"600 feeh Å¡ps 125 feeh O;kl okys cksykMZ dh çhdkfLVax vkSj ;Fkk LFkkku ij j[kuk 1%3%6 ¼1 lhesaV% 3 iquuZohuh—r daØhV jksM+h ¼vkjlh,½ ls O;qRiUu 6 fofufeZr jsr% 6 iquuZohuh—r jksM+h ¼vkj,½ ls O;qRiUu 20 feeh U;wure vkdkj dh oxhZ—r iRFkj dh jksM+h½ MSEid çwQ dkslZ",çR;sd,0-097,,
4-10,"lhlh ds lkFk 40 feeh eksVh ih@,y Mhihlh ¼1 lhesaV % 2 çk—frd lzksrksa ls O;qRiUu eksVh jsr % 4 çk—frd lzksrksa ls O;qRiUu 12-5 feeh U;wure vkdkj dh oxhZ—r iRFkj dh jksM+h½",oxZ eh-,0-13,,
4-9d,"lhlh ds lkFk 40 feeh eksVh ih/,y Mhihlh ¼1 lhesaV% 2 25%rd iquuZohuh—r daØhV jksM+h ¼vkjlh,½ ls O;qRiUu fofufeZr jsr lfgr% 4 25%rd iquuZohuh—r daØhV jksM+h ¼vkjlh,½ ls O;qRiUu12-5 feeh U;wure vkdkj dh oxhZ—r iRFkj dh jksM+h½",oxZ eh-,0-13,,
4-11,"lhlh ds lkFk 50 feeh eksVh ih@,y Mhihlh ¼1 lhesaV % 2 çk—frd lzksrksa ls O;q eksVh jsr % 4 çk—frd lzksrksa ls O;qhRi Uua 12-5 feeh U;wure vkdkj dh oxhZ—r iRFkj dh jksM+h½A",oxZ eh-,0-16,,
4-11d,"lhlh ds lkFk 50 feeh eksVh ih@,y Mhihlh ¼1 lhesaV% 2 25%rd iquuZohuh—r daØhV jksM+h ¼vkjlh,½ ls O;qRiUu fofufeZr jsr lfgr% 4 25% rd iquuZohuh—r daØhV jksM+h ¼vkjlh,½ ls O;qRiUu12-5 feeh U;wure vkdkj dh oxhZ—r iRFkj dh jksM+h½ fofo/k",oxZ eh-,0-16,,
4-17,1 lhesaV daØhV% 3 çk—frd lzksrksa ls O;qMRisUu eksVh jsr ¼tksu&III½ % 6 çk—frd lzksrksa ls O;qRiUu% 20 feeh U;wure vkdkj ds oxhZ—r iRFkj dh jksM+h ls 50 feeh eksVh fIyaFk lqj{kk cukuk½,oxZ eh-,0-11,,
4-17d,"1 lhesaV daØhV% 3 iquuZohuh—r daØhV jksM+h ¼vkjlh,½ ls O;qRiUu fofufeZr jsr% 6 iquuZohuh—r daØhV jksM+h ¼vkjlh,½ ls O;qaRiUu 20 feeh U;wure",,,,
,vkdkj dh oxhZ—r iRFkj dh jksM+h ls ls 50 feeksVh fIyaFk lqj{kk cukukA,oxZ eh-,0-11,,
la0,,,"bdkbZ ek=k esa iz;ksx djus ds fy, lhesaV dh ek=k¼fDoaVy esa½",,
,"4-20d-1-3 270 fdxzk@?kuehVj dh U;wure lhesaV lkexzh lfgr ,e 12 xzsM dk daØhV",oxZehVj,2.70,,
4-20 d-2,"4-20d-1-4 300 fdxzk@?kuehVj dh U;wure lhesaV lkexzh lfgr ,e 25 xzsM dk daØhV fIyaFk ls Åij vkSj eaftyVLrj rd lHkh dk;Z 4-20d-2-1 220 fdxzk@?kuehVj dh U;wure lhesaV lkexzh lfgr ,e 10 xzsM dk daØhV 4-20d-2-2 240 fdxzk@?kuehVj dh U;wure lhesaV lkexzh lfgr ,e 15 xzsM dk daØhV",oxZehVj oxZehVj oxZehVj,3.00 2.20 2.40,,
,"4-20d-2-3 270 fdxzk@?kuehVj dh U;wure lhesaV lkexzh lfgr ,e 20 xzsM dk daØhV",oxZehVj,2.70,,
,"4-20d-2-4 300 fdxzk@?kuehVj dh U;wure lhesaV lkexzh lfgr ,e 25 xzsM dk daØhV",oxZehVj,3.00,,
la0,,,"bdkbZ ek=k esa iz;ksx djus ds fy, lhesaV dh ek=k ¼fDoaVy esa½",,
5.1,"dkLV&bu&flVw fIyaFk Lrj rd ih@,y vkjlhlh %",,,,
,5.1.1 1%1-5%3 ¼1 lhesaV% 1-5 çk—frd lzksrksa ls O;qRiUu eksVhjsr % 3 çk—frd lzksrksa ls O;qRiUu 20 feeh U;wure vkdkj dh oxhZ—r iRFkj dh jksM+h½,?ku eh-,4.00,,
,"5.1.2d 1-5%3 ¼1 lhesaV% 1-5 20%rd iquuZohuh—r daØhV jksM+h ¼vkjlh,½ ls O;qRiUu fofufeZr jsr lfgr eksVh jsr % 320%rd iquuZohuh—r daØhV jksM+h ¼vkjlh,½ ls O;qRiUu 20 feeh U;wure vkdkj dh oxhZ—r iRFkj dh jksM+h½ 5.1.3 1%2%4 ¼1 lhesaV% 2 çk—frd lzksrksa ls O;qRiUu eksVh jsr% 4 çk—frd lzksrksa ls O;qRiUu 20 feeh U;wure vkdkj dh oxhZ—r iRFkj dh jksM+h½",?ku eh- ?ku eh-,4.00 3.20,,
,"5.1.3d 1%2%4 ¼1 lhesaV % 220%rd iquuZohuh—r daØhV jksM+h ¼vkjlh,½ ls O;qRiUu fofufeZr jsr lfgr eksVhjsr % 420%rd iquuZohuh—r daØhV jksM+h ¼vkjlh,½ ls O;qRiUu 20 feeh U;wure vkdkj dh oxhZ—r iRFkj dh jksM+h½",?ku eh-,3.20,,
5.2,nhokjksa vkfn esa vkjlhlh dk dk;ZA,,,,
,"5.2.2 1%1-5%3 ¼1 lhesaV% 1-5 çk—frd lzksrksa ls O;qRiUu eksVh jsr % 3 çk—frd lzksrksa ls O;qRiUu 20 feeh U;wure vkdkj dh oxhZ—r iRFkj dh jksM+h½ 5.2.2d 1%1-5%3 ¼1 lhesaV%1-520%rd iquuZohuh—r daØhV jksM+h ¼vkjlh,½ ls O;qRiUu fofufeZr jsr lfgr eksVh jsr % 320%rd iquuZohuh—r daØhV jksM+h ¼vkjlh,½ ls O;qRiUu 20 feeh U;wure vkdkj dh oxhZ—r iRFkj dh jksM+h½ A",?ku eh- ?ku eh-,4.00 4.00,,
5.3,che vkfn esa vkjlhlh ¼1%1-5 çk—frd lzksrksa ls O;qRiUu eksVh jsr ¼vapy&III½ % 3 çk—frd lzksrksa ls O;qRiUu 20 feeh U;wure vkdkj dh oxhZ—r iRFkj dh jksM+h½ dk dk;ZA,?ku eh-,4.00,,
5.3d,"che vkfn esa vkjlhlh ¼1%1-520%rd iquuZohuh—r daØhV jksM+h ¼vkjlh,½ ls O;qRiUu fofufeZr jsr lfgr eksVh jsr % 320%rd iquuZohuh—r daØhV jksM+h ¼vkjlh,½ ls O;qRiUu 20 feeh U;wure vkdkj dh oxhZ—r iRFkj dh jksM+h½ dk dk;ZA",?ku eh-,4.00,,
